numeroIteracionMaxima;tipoDePartida;tipoFinal;tiempos;numeroPiezas;listaDePiezasSacadas;movimientoLs;girosLs
11;Pieza_Azar;!final_Por_AlturaMaxima;3.7907, 0.1774, 0.1327, 0.2739, 0.1009, 0.115, 0.1695, 0.0864, 0.0846, 0.0858, 0.0817;0, 4, 8, 12, 16, 20, 24, 28, 32, 24, 28;gusanoInv, eleInv, cuadrado, gusanoInv, te, te, cuadrado, eleInv, te, eleInv, te;3, 3, 0, 2, 4, -1, 2, 3, 0, -1, 0;0, 2, 0, 0, 3, 1, 0, 1, 3, 1, 0
8;Pieza_Azar;!final_Por_AlturaMaxima;0.1024, 0.0886, 0.0865, 0.1289, 0.1021, 0.2056, 0.163, 0.1872;0, 4, 8, 12, 16, 20, 24, 28;gusano, gusanoInv, ele, te, ele, cuadrado, gusano, palo;3, 3, 4, 0, 0, 0, 3, 2;0, 0, 3, 0, 2, 0, 3, 0
9;Pieza_Azar;!final_Por_AlturaMaxima;0.1156, 0.1105, 0.0901, 0.0834, 0.0801, 0.1556, 0.1158, 0.101, 0.1132;0, 4, 8, 12, 10, 14, 18, 22, 26;te, palo, cuadrado, ele, eleInv, te, gusanoInv, ele, gusano;3, 3, 3, 0, 0, 3, 3, 1, 3;0, 1, 0, 0, 3, 1, 0, 3, 1
6;Pieza_Azar;!final_Por_AlturaMaxima;0.0748, 0.094, 0.1054, 0.059, 0.0518, 0.0884;0, 4, 8, 12, 16, 20;cuadrado, gusanoInv, gusanoInv, ele, ele, te;3, 2, 3, 4, -1, 3;0, 0, 0, 3, 1, 0
9;Pieza_Azar;!final_Por_AlturaMaxima;0.0841, 0.0626, 0.1359, 0.0565, 0.0857, 0.1068, 0.0547, 0.0921, 0.0858;0, 4, 8, 12, 16, 8, 12, 16, 20;eleInv, ele, te, cuadrado, palo, gusano, eleInv, gusanoInv, gusano;3, 3, 4, 0, 0, 3, 0, 2, 3;0, 1, 3, 0, 1, 0, 3, 1, 1
29;Pieza_Azar;!final_Por_AlturaMaxima;0.0522, 0.0507, 0.0477, 0.0462, 0.0878, 0.0654, 0.0569, 0.0466, 0.0471, 0.0869, 0.0868, 0.0702, 0.0923, 0.0495, 0.0465, 0.0488, 0.0546, 0.0458, 0.048, 0.0433, 0.1043, 0.0497, 0.0474, 0.0717, 0.0458, 0.0442, 0.0703, 0.0519, 0.0436;0, 4, 8, 12, 16, 20, 18, 10, 14, 12, 16, 20, 6, 10, 14, 6, 10, 14, 12, 16, 14, 12, 16, 20, 24, 28, 26, 30, 34;gusanoInv, gusano, gusano, te, eleInv, gusanoInv, gusano, palo, eleInv, gusanoInv, eleInv, palo, cuadrado, te, cuadrado, eleInv, gusano, eleInv, eleInv, te, eleInv, gusano, ele, ele, palo, te, te, gusano, te;3, 3, 3, 4, 0, 0, 1, 1, 0, 3, -1, 0, 4, 2, 0, 0, 0, 2, 3, 1, -1, 3, 1, 0, 1, 3, 4, 0, -1;0, 1, 1, 3, 0, 0, 1, 1, 3, 1, 1, 1, 0, 3, 0, 0, 3, 1, 2, 3, 1, 0, 3, 2, 1, 1, 3, 0, 1
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0627, 0.0461, 0.0496, 0.0701, 0.0829, 0.0529, 0.0733, 0.0503;0, 4, 8, 12, 16, 20, 24, 28;eleInv, cuadrado, gusanoInv, gusano, ele, cuadrado, gusano, palo;3, 4, -1, 1, 0, 3, 3, -2;0, 0, 1, 3, 2, 0, 0, 1
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0463, 0.0505, 0.0485, 0.0476, 0.0627, 0.0789, 0.0731, 0.0874;0, 4, 8, 12, 16, 20, 18, 22;gusano, gusano, palo, palo, te, palo, eleInv, te;3, 2, 3, -2, 3, -1, 3, 3;0, 0, 1, 1, 0, 1, 2, 0
10;Pieza_Azar;!final_Por_AlturaMaxima;0.048, 0.048, 0.0442, 0.043, 0.0415, 0.0613, 0.0511, 0.0457, 0.1143, 0.06;0, 4, 8, 12, 16, 14, 18, 16, 20, 24;te, eleInv, gusanoInv, palo, palo, cuadrado, eleInv, palo, cuadrado, gusano;3, 3, -1, -2, 0, 0, 2, 3, 0, 0;0, 2, 1, 1, 1, 0, 1, 1, 0, 0
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0618, 0.0456, 0.0466, 0.0782, 0.0748, 0.0416, 0.0726, 0.0557;0, 4, 8, 12, 16, 20, 24, 28;gusano, cuadrado, cuadrado, ele, eleInv, gusanoInv, cuadrado, cuadrado;3, 4, 0, 1, 3, -1, 2, 2;0, 0, 0, 3, 0, 1, 0, 0
7;Pieza_Azar;!final_Por_AlturaMaxima;0.0523, 0.0613, 0.0716, 0.0715, 0.0894, 0.0569, 0.0672;0, 4, 8, 12, 16, 20, 24;gusanoInv, gusanoInv, eleInv, gusanoInv, te, gusanoInv, gusano;3, 2, 2, 2, 4, -1, 3;0, 0, 2, 0, 3, 1, 0
14;Pieza_Azar;!final_Por_AlturaMaxima;0.0466, 0.0446, 0.0438, 0.0422, 0.066, 0.065, 0.0823, 0.0424, 0.1303, 0.0839, 0.0618, 0.0383, 0.0433, 0.0371;0, 4, 8, 12, 16, 20, 24, 22, 20, 24, 22, 26, 24, 28;ele, cuadrado, ele, gusanoInv, eleInv, cuadrado, palo, te, gusanoInv, ele, ele, palo, gusano, palo;3, 3, 4, -1, 3, 4, 0, -1, 0, 1, 0, 1, 0, -2;0, 0, 3, 1, 0, 0, 1, 1, 0, 3, 2, 1, 0, 1
9;Pieza_Azar;!final_Por_AlturaMaxima;0.0478, 0.0601, 0.0586, 0.0423, 0.0423, 0.0401, 0.0655, 0.0542, 0.0743;0, 4, 8, 12, 16, 20, 18, 22, 26;cuadrado, gusanoInv, ele, cuadrado, ele, te, cuadrado, gusano, eleInv;3, 2, 4, 0, -1, 0, 2, 2, 3;0, 0, 3, 0, 1, 1, 0, 0, 2
7;Pieza_Azar;!final_Por_AlturaMaxima;0.051, 0.0622, 0.0547, 0.0611, 0.0968, 0.0528, 0.0507;0, 4, 8, 12, 16, 20, 24;palo, te, cuadrado, gusanoInv, ele, palo, gusanoInv;2, 3, 3, 2, 4, -2, 3;0, 0, 0, 0, 3, 1, 0
7;Pieza_Azar;!final_Por_AlturaMaxima;0.0481, 0.0404, 0.0399, 0.0375, 0.0495, 0.0389, 0.0517;0, 4, 8, 12, 16, 20, 24;ele, eleInv, gusano, palo, cuadrado, palo, cuadrado;3, 2, 2, 3, 2, 2, 3;0, 0, 3, 1, 0, 1, 0
5;Pieza_Azar;!final_Por_AlturaMaxima;0.0471, 0.0395, 0.0501, 0.0487, 0.0469;0, 4, 8, 12, 16;te, palo, te, ele, palo;3, 3, 2, 3, 3;0, 1, 1, 3, 1
14;Pieza_Azar;!final_Por_AlturaMaxima;0.0956, 0.0395, 0.0388, 0.0373, 0.0217, 0.0292, 0.0211, 0.0171, 0.0174, 0.0255, 0.0278, 0.0364, 0.0411, 0.0401;0, 4, 8, 12, 16, 20, 24, 28, 32, 24, 28, 20, 24, 28;cuadrado, cuadrado, te, te, gusano, ele, ele, palo, ele, gusano, gusanoInv, cuadrado, gusanoInv, gusanoInv;3, 3, 3, 4, 0, 0, 0, -2, 1, 2, 0, 3, 2, 3;0, 0, 0, 3, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0
13;Pieza_Azar;!final_Por_AlturaMaxima;0.0528, 0.0575, 0.0271, 0.0186, 0.0282, 0.0647, 0.0344, 0.0299, 0.0185, 0.0171, 0.0176, 0.0389, 0.0319;0, 4, 8, 12, 16, 14, 18, 16, 14, 18, 22, 20, 24;te, cuadrado, gusano, te, te, gusano, ele, ele, eleInv, palo, te, cuadrado, gusanoInv;3, 2, 3, 4, -1, 3, 0, 1, -1, 0, 2, 2, 1;0, 0, 1, 3, 1, 0, 3, 3, 1, 1, 1, 0, 0
8;Pieza_Azar;!final_Por_AlturaMaxima;0.037, 0.0425, 0.0789, 0.0335, 0.0575, 0.0207, 0.0211, 0.0312;0, 4, 8, 12, 16, 20, 24, 28;gusanoInv, cuadrado, gusano, gusano, cuadrado, ele, te, cuadrado;3, 3, 3, 0, 4, 0, 0, 4;0, 0, 0, 0, 0, 2, 0, 0
6;Pieza_Azar;!final_Por_AlturaMaxima;0.0459, 0.0253, 0.0218, 0.0188, 0.0331, 0.0325;0, 4, 8, 12, 16, 20;ele, te, eleInv, palo, gusanoInv, cuadrado;3, 2, 4, -2, 3, 3;0, 0, 3, 1, 0, 0
11;Pieza_Azar;!final_Por_AlturaMaxima;0.0301, 0.0224, 0.0174, 0.0225, 0.0186, 0.0204, 0.031, 0.0196, 0.0389, 0.0303, 0.0185;0, 4, 8, 12, 10, 8, 12, 16, 14, 18, 22;ele, ele, gusano, te, eleInv, eleInv, cuadrado, eleInv, te, palo, gusanoInv;3, 2, 3, -1, 0, -1, 0, 2, 0, 3, -1;0, 2, 0, 1, 1, 1, 0, 1, 0, 1, 1
18;Pieza_Azar;!final_Por_AlturaMaxima;0.0255, 0.0188, 0.0358, 0.0193, 0.0164, 0.0196, 0.0477, 0.0458, 0.0204, 0.0223, 0.0182, 0.0204, 0.0175, 0.021, 0.0297, 0.019, 0.0308, 0.0339;0, 4, 8, 12, 16, 14, 6, 10, 14, 18, 16, 20, 18, 16, 20, 24, 22, 26;palo, cuadrado, eleInv, palo, palo, palo, gusanoInv, gusanoInv, te, cuadrado, cuadrado, palo, gusanoInv, eleInv, gusano, eleInv, gusanoInv, gusano;2, 3, 3, -2, -1, 0, 2, 3, 4, 0, 0, 0, 2, 3, 3, 0, 3, 3;0, 0, 2, 1, 1, 1, 0, 0, 3, 0, 0, 1, 1, 2, 0, 3, 0, 1
10;Pieza_Azar;!final_Por_AlturaMaxima;0.0236, 0.0421, 0.0229, 0.0374, 0.0182, 0.0218, 0.0193, 0.033, 0.0425, 0.0182;0, 4, 8, 12, 16, 20, 24, 22, 26, 24;gusano, palo, palo, te, te, cuadrado, ele, ele, te, palo;3, 2, -2, 0, -1, 3, 4, 3, 1, 2;0, 0, 1, 0, 1, 0, 3, 2, 2, 1
5;Pieza_Azar;!final_Por_AlturaMaxima;0.0513, 0.0356, 0.0558, 0.0753, 0.0611;0, 4, 8, 12, 16;gusanoInv, cuadrado, cuadrado, cuadrado, gusano;3, 3, 3, 3, 3;0, 0, 0, 0, 1
12;Pieza_Azar;!final_Por_AlturaMaxima;0.0356, 0.0249, 0.0186, 0.0203, 0.0171, 0.0198, 0.0196, 0.0505, 0.0484, 0.0442, 0.0364, 0.0317;0, 4, 8, 12, 10, 8, 0, 4, 8, 12, 16, 20;ele, gusano, palo, ele, ele, ele, cuadrado, gusano, gusanoInv, eleInv, ele, gusanoInv;3, 3, -2, 0, 1, 3, 3, 3, -1, 3, 3, 2;0, 0, 1, 1, 3, 2, 0, 0, 1, 0, 0, 0
5;Pieza_Azar;!final_Por_AlturaMaxima;0.029, 0.0199, 0.0179, 0.0246, 0.0321;0, 4, 8, 12, 16;cuadrado, palo, te, palo, gusanoInv;3, 3, 2, 2, 3;0, 1, 0, 1, 0
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0231, 0.0527, 0.0708, 0.0666, 0.0435, 0.0269, 0.0242, 0.1648;0, 4, 8, 12, 16, 20, 24, 28;cuadrado, cuadrado, cuadrado, eleInv, gusano, gusanoInv, ele, te;3, 3, 3, 3, 0, -1, 1, 3;0, 0, 0, 2, 0, 1, 3, 0
11;Pieza_Azar;!final_Por_AlturaMaxima;0.0436, 0.0189, 0.0173, 0.0197, 0.0168, 0.0308, 0.0284, 0.0183, 0.03, 0.0292, 0.0152;0, 4, 8, 12, 10, 14, 18, 22, 20, 24, 28;te, palo, cuadrado, ele, eleInv, ele, ele, eleInv, gusano, te, palo;3, 3, 3, 0, 0, 1, 0, 3, 1, 3, 3;0, 1, 0, 0, 3, 3, 2, 3, 1, 0, 1
5;Pieza_Azar;!final_Por_AlturaMaxima;0.0226, 0.0181, 0.0188, 0.0333, 0.0201;0, 4, 8, 12, 16;ele, te, palo, gusanoInv, ele;3, 2, 2, 3, 4;0, 0, 1, 0, 3
7;Pieza_Azar;!final_Por_AlturaMaxima;0.0194, 0.0295, 0.0321, 0.017, 0.0163, 0.0283, 0.0167;0, 4, 8, 12, 16, 20, 24;cuadrado, gusanoInv, gusanoInv, te, te, cuadrado, te;3, 2, 3, 4, -1, 3, 4;0, 0, 0, 3, 1, 0, 3
8;Pieza_Azar;!final_Por_AlturaMaxima;0.0186, 0.0191, 0.0158, 0.0175, 0.0155, 0.026, 0.0178, 0.028;0, 4, 8, 12, 16, 20, 24, 28;cuadrado, palo, gusanoInv, eleInv, palo, gusano, palo, gusano;3, 3, 2, 2, 3, 2, -2, 3;0, 1, 0, 2, 1, 0, 1, 0
11;Pieza_Azar;!final_Por_AlturaMaxima;0.0222, 0.017, 0.0184, 0.0283, 0.0296, 0.0351, 0.0243, 0.0159, 0.0276, 0.0172, 0.017;0, 4, 8, 12, 16, 14, 18, 22, 26, 30, 28;te, eleInv, cuadrado, gusano, palo, cuadrado, gusanoInv, palo, gusano, te, gusano;3, 3, 0, 1, -2, 0, 3, 3, 2, 3, 3;0, 2, 0, 0, 1, 0, 0, 1, 3, 3, 1
7;Pieza_Azar;!final_Por_AlturaMaxima;0.0348, 0.0203, 0.0205, 0.0173, 0.0316, 0.0354, 0.0396;0, 4, 8, 12, 16, 20, 24;te, palo, eleInv, eleInv, te, te, cuadrado;3, 3, 2, 0, 0, 1, 2;0, 1, 0, 3, 1, 2, 0
4;Pieza_Azar;!final_Por_AlturaMaxima;0.0193, 0.0188, 0.0345, 0.0311;0, 4, 8, 12;eleInv, palo, gusano, cuadrado;3, 2, 3, 3;0, 1, 1, 0
