numeroIteracionMaxima;tipoDePartida;tipoFinal;tiempos;numeroPiezas;listaDePiezasSacadas;movimientoLs;girosLs
6;gusanoInv;!final_Por_AlturaMaxima;0.0262, 0.0173, 0.0159, 0.0138, 0.0141, 0.0135;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0117, 0.0136, 0.0141, 0.0127, 0.0134, 0.0129;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0137, 0.0169, 0.0171, 0.0156, 0.0128, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0118, 0.0127, 0.013, 0.0128, 0.0127, 0.0121;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0107, 0.013, 0.0134, 0.0133, 0.0128, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0108, 0.0132, 0.0128, 0.0123, 0.0131, 0.0123;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0111, 0.0128, 0.0132, 0.0121, 0.0125, 0.012;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0109, 0.0127, 0.013, 0.0124, 0.0125, 0.0121;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0111, 0.0127, 0.0133, 0.0126, 0.013, 0.0124;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0107, 0.0132, 0.0127, 0.0128, 0.0129, 0.0121;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0108, 0.0571, 0.0135, 0.0125, 0.013, 0.0149;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0116, 0.0193, 0.0141, 0.0136, 0.0129, 0.0127;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0111, 0.0126, 0.0132, 0.0129, 0.0133, 0.0127;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0117, 0.013, 0.0129, 0.0125, 0.0129, 0.012;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0217, 0.0166, 0.0155, 0.014, 0.0151, 0.0149;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0127, 0.0141, 0.0177, 0.0129, 0.0131, 0.0132;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
6;gusanoInv;!final_Por_AlturaMaxima;0.0191, 0.0169, 0.0156, 0.0138, 0.0141, 0.0136;0, 4, 8, 12, 16, 20;gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv, gusanoInv;3, 2, 3, 2, 3, 2;0, 0, 0, 0, 0, 0
