numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;te;0, 0, 0, 0, 0;0, 0, 0, 0, 0;5, 5, 5, 5, 5;0.0125, 0.0057, 0.0055, 0.0053, 0.0054
13.0;4000;te;0, 3, 0, 3, 0, 3, 3, 0, 2, 0, 3, 1, 1;0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0121, 0.0113, 0.0072, 0.0095, 0.0068, 0.0095, 0.0076, 0.0088, 0.0066, 0.0061, 0.0068, 0.0066, 0.0056
13.0;8000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 2, 1, 3, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0122, 0.0127, 0.0082, 0.0111, 0.0079, 0.0101, 0.0089, 0.0097, 0.0084, 0.0089, 0.0086, 0.0091, 0.0079
13.0;12000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 2, 3;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0132, 0.013, 0.0086, 0.0113, 0.0091, 0.0099, 0.0094, 0.0105, 0.0102, 0.01, 0.0081, 0.0077, 0.0075
14.0;16000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0122, 0.0111, 0.007, 0.0099, 0.0073, 0.009, 0.0076, 0.0099, 0.006, 0.0083, 0.0059, 0.0078, 0.0066, 0.0061
15.0;20000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 2;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0134, 0.0128, 0.0096, 0.0116, 0.0099, 0.0119, 0.0098, 0.0111, 0.0087, 0.0109, 0.0083, 0.0106, 0.0102, 0.009, 0.0079
16.0;24000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0137, 0.0134, 0.0088, 0.0111, 0.0085, 0.0105, 0.0086, 0.0112, 0.008, 0.0111, 0.0084, 0.0156, 0.0087, 0.0121, 0.0061, 0.0062
18.0;28000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 2, 1, 1;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0111, 0.011, 0.0068, 0.0094, 0.0072, 0.0089, 0.0075, 0.0094, 0.006, 0.008, 0.0054, 0.0077, 0.0083, 0.0073, 0.0053, 0.0067, 0.0069, 0.0064
18.0;32000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0123, 0.0113, 0.0073, 0.0106, 0.0077, 0.0088, 0.008, 0.0098, 0.0063, 0.0082, 0.0064, 0.0084, 0.0067, 0.0082, 0.006, 0.0075, 0.0066, 0.0063
18.0;36000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0112, 0.0109, 0.0067, 0.0097, 0.0075, 0.0085, 0.0074, 0.0092, 0.0071, 0.0095, 0.0068, 0.0092, 0.0075, 0.0087, 0.0058, 0.0066, 0.0062, 0.0062
18.0;40000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0118, 0.0113, 0.0067, 0.0096, 0.0071, 0.0105, 0.0074, 0.0094, 0.0071, 0.01, 0.0072, 0.0091, 0.0081, 0.0072, 0.0057, 0.0067, 0.0061, 0.0063
18.0;44000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0119, 0.0113, 0.0069, 0.0099, 0.0071, 0.0087, 0.0076, 0.0096, 0.0075, 0.0102, 0.007, 0.0093, 0.0101, 0.0082, 0.0072, 0.0083, 0.0066, 0.0062
18.0;48000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0117, 0.0112, 0.0069, 0.0095, 0.0074, 0.0089, 0.008, 0.0094, 0.007, 0.0095, 0.0073, 0.0092, 0.0075, 0.0088, 0.0069, 0.0085, 0.0075, 0.0077
18.0;52000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0115, 0.0126, 0.008, 0.0098, 0.0073, 0.0103, 0.0067, 0.0086, 0.006, 0.0081, 0.0065, 0.0084, 0.0064, 0.0074, 0.0064, 0.0068, 0.0064, 0.0067
18.0;56000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0137, 0.0122, 0.009, 0.0106, 0.0078, 0.0097, 0.0091, 0.0085, 0.0065, 0.0081, 0.0072, 0.0095, 0.0072, 0.0086, 0.0062, 0.0074, 0.0066, 0.0063
18.0;60000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.0117, 0.043, 0.0071, 0.0098, 0.0074, 0.0095, 0.0082, 0.0095, 0.008, 0.0098, 0.0058, 0.0094, 0.0067, 0.0073, 0.0062, 0.0074, 0.0067, 0.0062
18.0;64000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.011, 0.0109, 0.0069, 0.0097, 0.0073, 0.0086, 0.0079, 0.0095, 0.0073, 0.0097, 0.0071, 0.0094, 0.0065, 0.0072, 0.0056, 0.0081, 0.007, 0.0062
18.0;68000;te;0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0;0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0;5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5;0.013, 0.0128, 0.0085, 0.0117, 0.008, 0.0092, 0.0083, 0.0104, 0.0081, 0.0111, 0.0075, 0.0095, 0.0079, 0.0089, 0.0078, 0.0091, 0.0083, 0.0073
