numeroIteraciones;numeroJuegosEntrenamiento;tipoDePartida;movimientoLs;girosLs;numeroPiezas;tiempos
5.0;0;gusanoInv;0, 0, 0, 0, 0;0, 0, 0, 0, 0;6, 6, 6, 6, 6;6.7087, 0.1881, 0.1485, 0.1523, 0.1235
5.0;500;gusanoInv;3, 3, 2, 1, 0;3, 3, 1, 0, 0;6, 6, 6, 6, 6;0.0294, 0.0123, 0.0097, 0.0097, 0.0088
7.0;1000;gusanoInv;0, 2, 3, 2, 0, 0, 0;2, 0, 0, 3, 0, 0, 0;6, 6, 6, 6, 6, 6, 6;0.0403, 0.0111, 0.0176, 0.0081, 0.0089, 0.0067, 0.006
7.0;1500;gusanoInv;0, 2, 3, -1, 0, 0, 0;2, 2, 0, 1, 0, 0, 0;6, 6, 6, 6, 6, 6, 6;0.015, 0.0101, 0.0172, 0.01, 0.0106, 0.0064, 0.0071
7.0;2000;gusanoInv;0, 2, 3, -1, 0, 0, 0;2, 2, 0, 1, 0, 0, 0;6, 6, 6, 6, 6, 6, 6;0.0306, 0.0095, 0.0186, 0.0097, 0.0094, 0.0097, 0.0102
7.0;2500;gusanoInv;0, 2, 3, -1, 0, 0, 0;2, 2, 0, 1, 3, 3, 0;6, 6, 6, 6, 6, 6, 6;0.0177, 0.0133, 0.0156, 0.0104, 0.0101, 0.0098, 0.0112
9.0;3000;gusanoInv;0, 2, 3, 0, -1, 1, -1, 2, 0;2, 2, 0, 3, 1, 1, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6;0.0488, 0.0073, 0.0137, 0.0082, 0.0074, 0.0072, 0.0069, 0.0072, 0.0073
9.0;3500;gusanoInv;0, 2, 3, 0, 0, 1, -1, 2, 0;2, 2, 0, 3, 3, 1, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6;0.0146, 0.031, 0.0116, 0.0071, 0.0071, 0.0072, 0.0069, 0.0072, 0.0071
9.0;4000;gusanoInv;0, 2, 3, -1, 0, 1, -1, 2, 0;2, 2, 0, 1, 3, 1, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6;0.0168, 0.0091, 0.0158, 0.0102, 0.0085, 0.0068, 0.0075, 0.0067, 0.0069
9.0;4500;gusanoInv;0, 2, 3, -1, 1, -1, -1, 2, 0;0, 2, 0, 1, 1, 1, 1, 3, 0;6, 6, 6, 6, 6, 6, 6, 6, 6;0.0147, 0.0074, 0.0114, 0.0069, 0.0075, 0.0069, 0.0067, 0.0075, 0.0078
